"casual","temperature_2m_max...C.","Inne","Inne2","Inne4"
0.1768908,0.1911357,0.0124854,0.0247784,0.0025657
0.0352941,0.0055402,-0.0447146,0.0024403,0.0005296
0.1382353,0.1939058,0.0195484,0.0766441,0.0193513
0.1193277,0.0747922,-0.0114594,0.0274391,0.0045926
0.0978992,0.0138504,-0.0512058,0.0056764,0.0011353
0.2831933,0.1024931,-0.0109927,0.0360701,0.0083908
0.1247899,0.0969529,-0.0057317,0.0304982,0.0040232
0.0777311,0.0803324,-0.0044198,0.0272808,0.0041405
0.1995798,0.1301939,-0.0140501,0.0585624,0.0164473
0.1247899,0.1634349,0.0056597,0.0592268,0.0111733
0.0512605,0.0775623,-0.0199548,0.0312951,0.0068805
0.1306723,0.1772853,0.0127499,0.1240545,0.0432871
0.2138655,0.1717452,0.0295822,0.0650616,0.0112589
0.0634454,0.2022161,0.0364526,0.0629307,0.0091049
0.1865546,0.2714681,0.132194,0.1863074,0.0652736
0.2457983,0.2825485,0.0620088,0.1035533,0.0188012
0.0752101,0.1855956,0.0181519,0.0761328,0.0144706
0.0331933,0.0858726,-0.0045511,0.0083412,0.0004378
0.1394958,0.2160665,0.0380426,0.0789457,0.0133256
0.0735294,0.1135734,-0.0014353,0.0313137,0.0043084
0.1323529,0.2132964,0.0510832,0.1395313,0.0409688
0.1857143,0.2714681,0.0686993,0.1009123,0.015602
0.0613445,0.1578947,0.0067741,0.0152191,0.0010362
0.1722689,0.2493075,0.0622743,0.1529362,0.0518465
0.1495798,0.3296399,0.0623511,0.0814035,0.0108538
0.1781513,0.1218837,-0.0186216,0.0670734,0.0195036
0.9109244,0.4072022,0.2417774,0.3025846,0.1261842
0.1508403,0.3102493,0.0798972,0.1205441,0.0235959
0.2105042,0.1717452,0.0219707,0.085273,0.0195946
0.9781513,0.4293629,0.2348992,0.3124751,0.130752
0.1067227,0.2160665,0.0118543,0.018566,0.0011324
0.0634454,0.3684211,0.0378753,0.0501012,0.0044771
0.4310924,0.4709141,0.2357462,0.2862406,0.1015038
0.5205882,0.3157895,0.0502897,0.0598147,0.0057694
0.1180672,0.3434903,0.129794,0.1903082,0.0645158
0.1886555,0.4515235,0.1010121,0.1317448,0.0323289
0.3504202,0.4072022,0.0347751,0.036511,0.0020198
0.0718487,0.2049861,0.0270032,0.0545264,0.0077342
0.262605,0.2853186,0.0891131,0.1843007,0.0718903
0.1865546,0.432133,0.0221643,0.0238936,0.0021352
0.1491597,0.2603878,0.0894545,0.1466979,0.0366225
0.1848739,0.2160665,0.0203146,0.1686273,0.0753441
0.0941176,0.1634349,0.002577,0.0064722,0.0002662
0.2869748,0.3961219,0.1602164,0.2157686,0.0654957
0.5046218,0.3767313,0.1722087,0.2543266,0.0995662
0.0827731,0.1246537,0.0021696,0.0045173,0.000141
0.2852941,0.1191136,0.0061965,0.0315062,0.0042902
0.7609244,0.4072022,0.1184746,0.14148,0.027694
0.1516807,0.1772853,0.0091606,0.0207972,0.0015635
0.2029412,0.0277008,-0.0708679,0.0142298,0.0044405
0.412605,0.1495845,0.0141532,0.0428072,0.0063148
0.1428571,0.0831025,-0.0147279,0.0361695,0.00708
0.2243697,0.1274238,0.0015909,0.0778818,0.0248559
0.1042017,0.1080332,0.0032383,0.0134401,0.001182
0.5037815,0.299169,0.0713862,0.1281982,0.0350954
0.0684874,0.1883657,0.0093356,0.0225192,0.0027151
0.2831933,0.4182825,0.1651564,0.2708135,0.1171604
0.6957983,0.3905817,0.0937508,0.163576,0.0600939
0.0798319,0.1135734,-0.0256573,0.069968,0.0230249
0.2336134,0.299169,0.1036543,0.2090067,0.0930895
0.4310924,0.2105263,0.0352253,0.0770001,0.0172568
0.0785714,0.1080332,-0.0310963,0.0679272,0.0212935
0.1294118,0.1052632,-0.0197973,0.0615843,0.0206155
0.037395,-0.0221607,-0.0797785,-0.010291,-0.0027151
0.0516807,0.0304709,-0.0098024,0.0040982,0.0004767
0.2865546,0.2160665,0.0450491,0.149577,0.0555875
0.0289916,-0.0609418,-0.0848557,-0.0279814,-0.0052788
0.0886555,0.1578947,0.0085333,0.0132725,0.0006401
0.0084034,-0.0443213,-0.0937411,-0.0183466,-0.0036953
0.3554622,0.2936288,0.0818674,0.1710199,0.0545808
0.4659664,0.1855956,0.0298428,0.0759941,0.016169
0.0184874,-0.0969529,-0.0377333,-0.0161547,-0.0017186
0.1390756,0.2271468,0.083469,0.1428212,0.0427451
0.0352941,0.0941828,0.0044422,0.0200914,0.0018809
0.0752101,0.0360111,-0.0297475,0.0117584,0.0016011
0.062605,0.2299169,0.0194297,0.0381378,0.0032999
0.2718487,0.2603878,0.0819588,0.1673212,0.0524511
0.1105042,0.0941828,-0.0072351,0.043631,0.0082311
0.152521,0.3628809,0.1075373,0.1514325,0.0369452
0.2714286,0.2686981,0.0885656,0.2126143,0.0877599
0.0273109,0.1855956,0.0138527,0.0282205,0.0025218
0.1243697,0.2299169,0.0381204,0.0962035,0.0246991
0.2936975,0.299169,0.09752,0.1932473,0.0737355
0.1348739,0.498615,0.1691173,0.1894472,0.0376207
0.8268908,0.3462604,0.1478681,0.2369901,0.0910983
0.0764706,0.565097,0.0651061,0.0686133,0.0078832
0.0504202,0.5041551,0.2169359,0.2486223,0.0835794
0.5886555,0.3434903,0.0752303,0.0927801,0.0161872
0.547479,0.465374,0.2545555,0.3371179,0.1477581
0.5029412,0.5429363,0.4976885,0.5703824,0.3915817
0.310084,0.2576177,0.0771587,0.2009593,0.0869399
0.5558824,0.5263158,0.4748094,0.5133993,0.2876492
0.3903361,0.2936288,0.121777,0.2543908,0.1219632
0.7453782,0.501385,0.4589613,0.5169903,0.3131275
0.6058824,0.7562327,0.426843,0.4147472,0.1729584
0.3798319,0.2686981,0.1323865,0.2009697,0.076397
0.7781513,0.6786704,0.7504945,0.7827039,0.6838944
0.655042,0.4847645,0.3090374,0.4263235,0.2291867
0.802521,0.7119114,0.7262025,0.7494952,0.5953437
0.447479,0.4626039,0.1350161,0.1538159,0.0344722
0.5138655,0.6315789,0.1975792,0.2130676,0.0752537
0.1445378,0.5152355,0.1127273,0.1212686,0.0170292
0.1016807,0.5872576,0.0689025,0.0645027,0.0062215
0.8189076,0.7063712,0.563413,0.6043248,0.3968828
0.344958,0.5900277,0.4618242,0.451224,0.2169715
0.8983193,0.7894737,0.6758661,0.6925286,0.5009781
0.4714286,0.6481994,0.5296084,0.5405113,0.3005396
0.8256303,0.867036,0.6983027,0.7048521,0.504894
0.8315126,0.7728532,0.7027954,0.7146184,0.5037806
0.2995798,0.7119114,0.2660033,0.2449557,0.0608046
0.792437,0.8116343,0.6658615,0.654962,0.4310672
0.8819328,0.700831,0.4972227,0.5013997,0.2531891
0.7298319,0.7783934,0.6992187,0.7136342,0.516246
0.4928571,0.6288089,0.1820422,0.1731363,0.0363463
0.6659664,0.8282548,0.7360778,0.7206683,0.5172456
0.4470588,0.4210526,0.2381773,0.3600677,0.2058259
0.4882353,0.867036,0.6944508,0.6552922,0.3959638
0.5310924,0.5069252,0.4467783,0.5370962,0.3420655
0.9281513,0.6786704,0.5299556,0.5879787,0.4120021
0.5415966,0.4792244,0.1690142,0.2060707,0.0716132
0.555042,0.7950139,0.6352252,0.6510543,0.420184
0.6382353,0.6066482,0.3220236,0.3540136,0.1511462
0.6394958,0.7700831,0.5894963,0.5972648,0.3778441
0.5726891,0.6232687,0.333452,0.3441531,0.1366849
0.7264706,0.833795,0.8028234,0.7541471,0.5327167
0.5008403,0.6703601,0.3219906,0.3543778,0.1417511
0.8088235,0.501385,0.1670955,0.187128,0.0541477
0.394958,0.7313019,0.2811765,0.2590043,0.0723743
0.4546218,0.7146814,0.2456837,0.274211,0.104628
0.8726891,0.6260388,0.2581623,0.2565723,0.0800651
0.7571429,0.6731302,0.5426841,0.5439482,0.3047653
0.6823529,0.7285319,0.4857486,0.4624278,0.2203911
0.7542017,0.7119114,0.6425458,0.6606622,0.4563723
0.692437,0.7867036,0.7250161,0.6742276,0.4341834
0.9945378,0.7479224,0.8670426,0.8502771,0.7019309
0.3273109,0.3434903,0.1518124,0.2276513,0.0842794
0.5886555,0.8393352,0.8538221,0.7911424,0.5667048
0.397479,0.4182825,0.2601831,0.2903471,0.1165507
0.5411765,0.734072,0.3714167,0.358714,0.1353446
0.5487395,0.6731302,0.5609235,0.6198948,0.3947982
0.4218487,0.5512465,0.2391945,0.2271555,0.0882846
0.6176471,0.9085873,0.9867386,0.9283803,0.7703582
0.5672269,0.4792244,0.4507197,0.5029127,0.328855
0.655042,0.9113573,0.9189729,0.8580077,0.6754529
0.7747899,0.5180055,0.4108732,0.4896175,0.2854366
0.5512605,0.9113573,0.8148284,0.7333923,0.4733241
0.5470588,0.7811634,0.45371,0.4255018,0.1756327
0.6668067,0.7783934,0.5434397,0.5435136,0.2875611
0.4453782,0.8144044,0.683602,0.6422888,0.3890175
0.2016807,0.4265928,0.077183,0.0910021,0.0129081
0.7294118,0.8891967,0.8871599,0.8683711,0.7476614
0.2537815,0.4238227,0.0577105,0.0657104,0.0096002
0.5739496,0.9168975,0.9065293,0.8772681,0.7304346
0.7710084,0.9058172,0.9827758,1,1
0.5764706,0.7451524,0.4491152,0.4134029,0.1700522
0.494958,0.7867036,0.5512505,0.5222766,0.2622495
0.5394958,0.7091413,0.273358,0.2482415,0.0619723
0.9907563,0.8171745,0.6769008,0.6811086,0.4733946
0.6735294,0.8033241,0.5219513,0.4723865,0.2057059
0.5777311,0.7977839,0.6146499,0.6321613,0.4591016
0.6436975,0.7922438,0.6784383,0.6952545,0.4990054
0.9848739,0.7313019,0.5797017,0.5816669,0.3671514
0.6617647,0.8088643,0.5710001,0.6055853,0.438942
0.65,0.6481994,0.3336455,0.3232897,0.1215202
0.7621849,0.6925208,0.5830392,0.6059289,0.4091094
0.8113445,0.7839335,0.4138441,0.3956731,0.1560243
0.5558824,0.8310249,0.7612946,0.7320821,0.5057078
0.6462185,0.8531856,0.6881269,0.642593,0.401051
0.5029412,0.833795,0.5286865,0.4980922,0.2501059
0.9042017,0.8365651,0.4762808,0.4569294,0.2093449
0.5802521,0.7202216,0.4016291,0.4100654,0.2326612
0.4689076,0.8559557,0.6440045,0.6085441,0.3746215
0.6029412,0.9279778,0.7368937,0.7062047,0.4798185
0.5819328,0.7950139,0.477827,0.4395805,0.1982788
0.5340336,0.9529086,0.7044447,0.6646569,0.4393335
0.4226891,0.6371191,0.1154172,0.1078253,0.0172826
0.905042,0.8864266,0.8124741,0.7580372,0.5161105
0.397479,0.9252078,0.6465212,0.6194115,0.3663753
0.6680672,0.8199446,0.5952367,0.5498585,0.291698
0.6676471,0.7368421,0.4771074,0.5194554,0.3521982
0.8390756,0.6759003,0.6155037,0.65502,0.5407399
0.5642857,0.9252078,0.9404399,0.8727756,0.6759369
0.9205882,0.7091413,0.7067669,0.7078988,0.5100888
0.5478992,0.9612188,0.9397708,0.8830449,0.7377495
0.4554622,0.6204986,0.1657535,0.1863798,0.0605404
0.5634454,0.9639889,0.8950504,0.8499356,0.6534257
0.5331933,0.5623269,0.4074726,0.4657539,0.2887013
0.4710084,0.9806094,0.9786818,0.8675205,0.6460259
0.7348739,0.5761773,0.1060174,0.102032,0.015341
0.5453782,0.6038781,0.4534591,0.4825719,0.2580562
0.6352941,1,1,0.9212872,0.7422569
0.7760504,0.6759003,0.3281618,0.3252374,0.1157937
0.6878151,0.7174515,0.4962181,0.5103422,0.2627719
0.7247899,0.8310249,0.6695286,0.6342849,0.3724737
0.8021008,0.7396122,0.4840274,0.4929477,0.2538156
0.6920168,0.8559557,0.6481909,0.6072649,0.3428247
0.9029412,0.6842105,0.2138941,0.2382361,0.0746811
0.6630252,0.8531856,0.6266208,0.5581252,0.2826251
0.7823529,0.8725762,0.7092895,0.6774088,0.4179757
0.6357143,0.8365651,0.7064655,0.6619538,0.4272184
0.4865546,0.6842105,0.2055232,0.2085844,0.0656819
0.5344538,0.5429363,0.3502249,0.3991866,0.2072373
0.7172269,0.8088643,0.6508516,0.6300626,0.4245102
0.4806723,0.6260388,0.4302164,0.4857801,0.2425455
0.8016807,0.7368421,0.6293651,0.6317701,0.4507523
0.4911765,0.6703601,0.3991814,0.4450385,0.2095784
0.942437,0.7811634,0.7425096,0.7211351,0.4991687
0.7088235,0.8476454,0.7342933,0.742607,0.5656453
0.5432773,0.6426593,0.3971256,0.4319305,0.2083069
0.6462185,0.8864266,0.6058803,0.5828508,0.348057
0.6865546,0.5872576,0.2154189,0.2281728,0.0676427
0.4172269,0.7229917,0.2299533,0.2114935,0.0500985
0.8046218,0.7867036,0.7514319,0.7621064,0.5772551
0.6915966,0.8033241,0.5933764,0.5600211,0.3026497
0.8214286,0.7783934,0.5379492,0.5644515,0.3274619
0.9689076,0.8199446,0.5691505,0.5691571,0.3334211
0.5621849,0.6620499,0.3734764,0.392527,0.166476
0.6168067,0.7479224,0.4058184,0.422484,0.2079461
0.562605,0.7590028,0.3461085,0.3779858,0.1592366
0.3869748,0.6731302,0.2048784,0.2180319,0.0773163
0.2781513,0.2077562,0.0437373,0.072727,0.0105222
0.5415966,0.8254848,0.5283365,0.5585081,0.3200529
0.1193277,0.2853186,0.0596924,0.0828234,0.0113956
0.5243697,0.7922438,0.3664728,0.3705656,0.1492775
0.8886555,0.3684211,0.110479,0.177694,0.0594834
0.1747899,0.3573407,0.100062,0.1260249,0.0214511
0.7004202,0.8504155,0.5129473,0.515646,0.2472175
0.2327731,0.2243767,0.0498482,0.0976575,0.0259035
0.1836134,0.3711911,0.0745058,0.0870882,0.0107471
0.2815126,0.398892,0.1250824,0.1533461,0.0328443
0.2445378,0.5235457,0.0759276,0.08391,0.0088076
0.3348739,0.5290859,0.1818623,0.2136751,0.05698
0.0609244,0.4736842,0.0199111,0.0207051,0.0010866
0.1764706,0.6925208,0.1125873,0.1117683,0.0274268
0.2037815,0.4099723,0.038804,0.0433454,0.0063327
0.2491597,0.1772853,0.0141901,0.0604045,0.01071
0.5369748,0.5706371,0.2688438,0.323832,0.154337
0.3054622,0.2908587,0.0501905,0.1219206,0.0397755
0.0369748,0.0166205,-0.0056159,0.0010245,8.72e-05
0.3180672,0.4459834,0.0558064,0.0678133,0.0133703
0.9205882,0.33241,0.0898084,0.1549853,0.0474849
0.0281513,0.1024931,0.0025595,0.0071987,0.0002553
0.0756303,0.3795014,0.0268126,0.0320423,0.0024089
0.8684874,0.4182825,0.0851786,0.1411105,0.0502394
0.0415966,0.0609418,-0.0071456,0.0076044,0.0004638
0.0491597,0.465374,0.0237105,0.0253838,0.0011882
0.4084034,0.365651,0.1070774,0.1652928,0.0543942
0.0941176,0.0747922,-0.0137369,0.0281935,0.0040391
0.5457983,0.501385,0.0534395,0.0575058,0.0066071
0.110084,0.2631579,0.0198226,0.0385394,0.0100038
0.0663866,-0.0277008,-0.0476115,-0.009935,-0.0013528
0.639916,0.4847645,0.062037,0.0691825,0.0096169
0.1176471,0.1606648,0.0054749,0.0675867,0.0164892
0.1033613,0.0969529,-0.0056014,0.0347723,0.0056721
0.7689076,0.5484765,0.2729865,0.2965026,0.1000959
0.1588235,0.33241,0.0962558,0.1517565,0.0383158
0.1063025,0.0969529,0.0006506,0.0080773,0.0003895
0.4331933,0.5817175,0.3136829,0.3453329,0.1307857
0.3285714,0.398892,0.111858,0.1503656,0.0334857
0.2264706,0.1689751,0.0099658,0.0539116,0.0074176
0.4676471,0.5734072,0.1159481,0.1182508,0.0197923
0.642437,0.4265928,0.1159073,0.1310048,0.0224845
0.1004202,0.0720222,-0.0076338,0.0211221,0.0024268
0.4407563,0.6620499,0.2529276,0.260448,0.0801663
0.607563,0.5290859,0.1089153,0.1265051,0.0222505
0.0848739,0.1689751,0.0172261,0.0328899,0.0027991
0.7857143,0.5124654,0.2572103,0.3069022,0.1301614
0.2970588,0.5484765,0.1883865,0.2391282,0.1007391
0.1226891,0.0941828,-0.0098607,0.0297324,0.0036269
0.1789916,0.2825485,0.0582036,0.1214983,0.0441185
0.2021008,0.3213296,0.0714523,0.1130846,0.0222961
0.189916,0.2105263,0.0310506,0.0810113,0.0168917
0.2436975,0.3767313,0.0602088,0.0854324,0.0179347
0.5592437,0.5180055,0.2392305,0.3013179,0.1145436
0.1978992,0.2770083,0.0315076,0.0413957,0.0038753
0.7722689,0.5484765,0.1488298,0.1751968,0.0474647
0.3092437,0.4819945,0.1433452,0.1712476,0.0459089
0.3021008,0.468144,0.0742122,0.0844751,0.0109039
0.2773109,0.6260388,0.0876087,0.0900459,0.0182646
0.2588235,0.3795014,0.0991615,0.1314302,0.0370987
0.5323529,0.3490305,0.1116537,0.1439575,0.0459439
0.0668067,0.501385,0.0155963,0.0151725,0.0011837
0.2483193,0.299169,0.061647,0.138928,0.0467034
0.1554622,0.0304709,-0.0520946,0.0110878,0.0033499
0.1159664,0.1495845,-0.0016143,0.0463838,0.0119743
0.3836134,0.3379501,0.1041503,0.1802946,0.0585638
0.1302521,0.0581717,-0.0289345,0.0222978,0.004681
0.1487395,0.0055402,-0.0351534,0.0020222,0.0003499
0.9222689,0.3518006,0.1153899,0.1974097,0.0705635
0.0214286,0.2936288,0.0109732,0.0136026,0.0010419
0.1785714,0.1634349,0.0142173,0.0525104,0.0075228
1,0.4238227,0.1617917,0.2251572,0.0788849
0.0184874,0.33241,0.0174362,0.0202425,0.0015505
0.3361345,0.2243767,0.0370156,0.0818144,0.01439
0.4945378,0.4903047,0.2234631,0.2520499,0.0736486
0.1630252,0.0858726,-0.0145402,0.0342632,0.00729
0.8134454,0.3185596,0.0757759,0.11449,0.0217612
0.4046218,0.4709141,0.210261,0.2470079,0.0732264
0.3033613,0.1440443,0.0051978,0.0575275,0.0100367
0.1205882,0.199446,0.0032577,0.0049923,0.0002124
0.3386555,0.5401662,0.1780221,0.1884848,0.0409052
0.3294118,0.1163435,0.0052279,0.038945,0.0053032
0.2831933,0.1689751,0.0089768,0.0342787,0.0043274
0.3037815,0.6177285,0.1903431,0.2081643,0.0584632
0.2231092,0.1772853,0.0026256,0.0596097,0.0109919
